2	200	1
0	70	70	0	0	1351	0	0	0
1	10	137	30	147	219	90	0	7
2	6	135	40	351	386	90	0	6
3	8	124	-20	231	298	90	9	0
4	32	106	-20	602	657	90	16	0
5	21	115	-10	306	376	90	7	0
6	8	138	-30	234	316	90	1	0
7	28	99	10	51	93	90	0	5
8	10	134	10	629	677	90	0	10
9	8	119	20	0	1182	90	0	3
10	2	132	-40	526	584	90	2	0
11	28	107	-10	0	1206	90	8	0
12	36	105	-10	776	852	90	18	0
13	14	131	-20	712	784	90	17	0
14	16	138	10	86	142	90	0	15
15	35	99	-10	976	1025	90	14	0
16	31	112	20	401	481	90	0	4
17	3	135	20	433	491	90	0	13
18	34	108	10	506	566	90	0	12
