4	100	1
0	270	270	0	0	1351	0	0	0
1	210	210	-10	100	300	10	11	0
2	220	210	-10	150	350	10	12	0
3	230	210	-10	200	400	10	13	0
4	240	210	-10	250	450	10	14	0
5	250	210	-10	300	500	10	15	0
6	260	210	-10	350	550	10	16	0
7	270	210	-10	400	600	10	17	0
8	280	210	-10	450	650	10	18	0
9	290	210	-10	500	700	10	19	0
10	300	210	-10	550	750	10	20	0
11	210	230	10	100	300	10	0	1
12	220	230	10	150	350	10	0	2
13	230	230	10	200	400	10	0	3
14	240	230	10	250	450	10	0	4
15	250	230	10	300	500	10	0	5
16	260	230	10	350	550	10	0	6
17	270	230	10	400	600	10	0	7
18	280	230	10	450	650	10	0	8
19	290	230	10	500	700	10	0	9
20	300	230	10	550	750	10	0	10
