4	100	1
0	70	70	0	0	1351	0	0	0
1	10	10	-10	100	300	10	11	0
2	20	10	-10	150	350	10	12	0
3	30	10	-10	200	400	10	13	0
4	40	10	-10	250	450	10	14	0
5	50	10	-10	300	500	10	15	0
6	60	10	-10	350	550	10	16	0
7	70	10	-10	400	600	10	17	0
8	80	10	-10	450	650	10	18	0
9	90	10	-10	500	700	10	19	0
10	100	10	-10	550	750	10	20	0
11	10	30	10	100	300	10	0	1
12	20	30	10	150	350	10	0	2
13	30	30	10	200	400	10	0	3
14	40	30	10	250	450	10	0	4
15	50	30	10	300	500	10	0	5
16	60	30	10	350	550	10	0	6
17	70	30	10	400	600	10	0	7
18	80	30	10	450	650	10	0	8
19	90	30	10	500	700	10	0	9
20	100	30	10	550	750	10	0	10
